1/Jan/1966,298
2/Jan/1966,299
3/Jan/1966,297
4/Jan/1966,313
5/Jan/1966,346
6/Jan/1966,381
7/Jan/1966,408
8/Jan/1966,424
9/Jan/1966,440
10/Jan/1966,461
11/Jan/1966,501
12/Jan/1966,540
13/Jan/1966,611
14/Jan/1966,705
15/Jan/1966,779
16/Jan/1966,794
17/Jan/1966,708
18/Jan/1966,611
19/Jan/1966,544
20/Jan/1966,491
21/Jan/1966,439
22/Jan/1966,391
23/Jan/1966,365
24/Jan/1966,353
25/Jan/1966,344
26/Jan/1966,338
27/Jan/1966,369
28/Jan/1966,418
29/Jan/1966,481
30/Jan/1966,577
31/Jan/1966,649
1/fev/1966,556
2/fev/1966,514
3/fev/1966,555
4/fev/1966,781
5/fev/1966,985
6/fev/1966,987
7/fev/1966,958
8/fev/1966,1071
9/fev/1966,1299
10/fev/1966,1702
11/fev/1966,2019
12/fev/1966,1965
13/fev/1966,1708
14/fev/1966,1362
15/fev/1966,1048
16/fev/1966,833
17/fev/1966,679
18/fev/1966,586
19/fev/1966,543
20/fev/1966,518
21/fev/1966,492
22/fev/1966,466
23/fev/1966,441
24/fev/1966,423
25/fev/1966,405
26/fev/1966,389
27/fev/1966,378
28/fev/1966,371
1/Mar/1966,469
2/Mar/1966,508
3/Mar/1966,583
4/Mar/1966,678
5/Mar/1966,711
6/Mar/1966,691
7/Mar/1966,659
8/Mar/1966,651
9/Mar/1966,710
10/Mar/1966,856
11/Mar/1966,1235
12/Mar/1966,1326
13/Mar/1966,1095
14/Mar/1966,1123
15/Mar/1966,1237
16/Mar/1966,1156
17/Mar/1966,859
18/Mar/1966,603
19/Mar/1966,521
20/Mar/1966,497
21/Mar/1966,475
22/Mar/1966,460
23/Mar/1966,451
24/Mar/1966,447
25/Mar/1966,439
26/Mar/1966,429
27/Mar/1966,422
28/Mar/1966,415
29/Mar/1966,409
30/Mar/1966,405
31/Mar/1966,401
1/abr/1966,566
2/abr/1966,554
3/abr/1966,546
4/abr/1966,566
5/abr/1966,604
6/abr/1966,613
7/abr/1966,629
8/abr/1966,772
9/abr/1966,951
10/abr/1966,1049
11/abr/1966,1118
12/abr/1966,1148
13/abr/1966,1104
14/abr/1966,1069
15/abr/1966,1068
16/abr/1966,1049
17/abr/1966,983
18/abr/1966,857
19/abr/1966,735
20/abr/1966,676
21/abr/1966,656
22/abr/1966,641
23/abr/1966,619
24/abr/1966,597
25/abr/1966,585
26/abr/1966,570
27/abr/1966,544
28/abr/1966,529
29/abr/1966,578
30/abr/1966,656
1/mai/1966,591
2/mai/1966,568
3/mai/1966,556
4/mai/1966,554
5/mai/1966,554
6/mai/1966,560
7/mai/1966,562
8/mai/1966,557
9/mai/1966,549
10/mai/1966,537
11/mai/1966,527
12/mai/1966,520
13/mai/1966,504
14/mai/1966,485
15/mai/1966,472
16/mai/1966,460
17/mai/1966,453
18/mai/1966,451
19/mai/1966,451
20/mai/1966,451
21/mai/1966,447
22/mai/1966,443
23/mai/1966,442
24/mai/1966,442
25/mai/1966,439
26/mai/1966,435
27/mai/1966,430
28/mai/1966,423
29/mai/1966,418
30/mai/1966,417
31/mai/1966,417
1/Jun/1966,313
2/Jun/1966,312
3/Jun/1966,309
4/Jun/1966,307
5/Jun/1966,310
6/Jun/1966,319
7/Jun/1966,341
8/Jun/1966,359
9/Jun/1966,355
10/Jun/1966,341
11/Jun/1966,331
12/Jun/1966,325
13/Jun/1966,323
14/Jun/1966,321
15/Jun/1966,320
16/Jun/1966,320
17/Jun/1966,304
18/Jun/1966,297
19/Jun/1966,301
20/Jun/1966,301
21/Jun/1966,301
22/Jun/1966,298
23/Jun/1966,295
24/Jun/1966,294
25/Jun/1966,294
26/Jun/1966,294
27/Jun/1966,294
28/Jun/1966,294
29/Jun/1966,294
30/Jun/1966,294
1/Jul/1966,263
2/Jul/1966,261
3/Jul/1966,260
4/Jul/1966,260
5/Jul/1966,260
6/Jul/1966,260
7/Jul/1966,258
8/Jul/1966,256
9/Jul/1966,254
10/Jul/1966,252
11/Jul/1966,250
12/Jul/1966,249
13/Jul/1966,248
14/Jul/1966,248
15/Jul/1966,248
16/Jul/1966,248
17/Jul/1966,248
18/Jul/1966,248
19/Jul/1966,248
20/Jul/1966,248
21/Jul/1966,248
22/Jul/1966,248
23/Jul/1966,247
24/Jul/1966,245
25/Jul/1966,243
26/Jul/1966,242
27/Jul/1966,242
28/Jul/1966,242
29/Jul/1966,239
30/Jul/1966,237
31/Jul/1966,237
1/ago/1966,220
2/ago/1966,220
3/ago/1966,220
4/ago/1966,220
5/ago/1966,220
6/ago/1966,220
7/ago/1966,219
8/ago/1966,219
9/ago/1966,219
10/ago/1966,219
11/ago/1966,217
12/ago/1966,215
13/ago/1966,215
14/ago/1966,215
15/ago/1966,215
16/ago/1966,214
17/ago/1966,213
18/ago/1966,213
19/ago/1966,212
20/ago/1966,212
21/ago/1966,210
22/ago/1966,208
23/ago/1966,208
24/ago/1966,208
25/ago/1966,208
26/ago/1966,208
27/ago/1966,208
28/ago/1966,207
29/ago/1966,206
30/ago/1966,206
31/ago/1966,206
1/set/1966,193
2/set/1966,191
3/set/1966,191
4/set/1966,191
5/set/1966,190
6/set/1966,189
7/set/1966,189
8/set/1966,189
9/set/1966,189
10/set/1966,189
11/set/1966,189
12/set/1966,189
13/set/1966,188
14/set/1966,186
15/set/1966,184
16/set/1966,184
17/set/1966,184
18/set/1966,184
19/set/1966,186
20/set/1966,202
21/set/1966,232
22/set/1966,276
23/set/1966,301
24/set/1966,302
25/set/1966,302
26/set/1966,291
27/set/1966,258
28/set/1966,232
29/set/1966,222
30/set/1966,216
1/out/1966,286
2/out/1966,281
3/out/1966,279
4/out/1966,278
5/out/1966,281
6/out/1966,294
7/out/1966,326
8/out/1966,347
9/out/1966,346
10/out/1966,341
11/out/1966,339
12/out/1966,344
13/out/1966,354
14/out/1966,356
15/out/1966,350
16/out/1966,344
17/out/1966,340
18/out/1966,339
19/out/1966,341
20/out/1966,379
21/out/1966,432
22/out/1966,463
23/out/1966,468
24/out/1966,462
25/out/1966,455
26/out/1966,442
27/out/1966,416
28/out/1966,381
29/out/1966,355
30/out/1966,345
31/out/1966,340
1/Nov/1966,337
2/Nov/1966,330
3/Nov/1966,318
4/Nov/1966,305
5/Nov/1966,298
6/Nov/1966,303
7/Nov/1966,313
8/Nov/1966,319
9/Nov/1966,318
10/Nov/1966,313
11/Nov/1966,310
12/Nov/1966,309
13/Nov/1966,314
14/Nov/1966,320
15/Nov/1966,375
16/Nov/1966,551
17/Nov/1966,703
18/Nov/1966,581
19/Nov/1966,393
20/Nov/1966,355
21/Nov/1966,381
